Movie_Title,Director_Name,IMDB_score,Actor_1,Actor_2,Actor_3,Gross_Revenue,Budget,Total_Facebook_Likes,Country
Raging Bull,Martin Scorsese,8.3,Robert De Niro,Cathy Moriarty,Frank Vincent,45250.0,18000000.0,0,USA
Love Happens,Brandon Camp,5.6,Judy Greer,Sasha Alexander,Frances Conroy,22927390.0,18000000.0,0,USA
Young Sherlock Holmes,Barry Levinson,6.8,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,4250320.0,18000000.0,0,USA
Fame,Kevin Tancharoen,5.0,Kelsey Grammer,Kay Panabaker,Megan Mullally,22452209.0,18000000.0,0,USA
127 Hours,Danny Boyle,7.6,James Franco,Treat Williams,Kate Burton,18329466.0,18000000.0,63000,USA
Small Time Crooks,Woody Allen,6.7,Woody Allen,Jon Lovitz,Michael Rapaport,17071230.0,18000000.0,812,USA
Center Stage,Nicholas Hytner,6.7,Amanda Schull,Susan May Pratt,Ethan Stiefel,17174870.0,18000000.0,0,USA
Love the Coopers,Jessie Nelson,5.7,Olivia Wilde,Alex Borstein,Timothée Chalamet,26284475.0,17000000.0,0,USA
Catch That Kid,Bart Freundlich,5.2,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,16702864.0,18000000.0,591,USA
Life as a House,Irwin Winkler,7.5,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,15561627.0,18000000.0,0,USA
Steve Jobs,Danny Boyle,7.2,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,17750583.0,30000000.0,23000,UK
"I Love You, Beth Cooper",Chris Columbus,5.3,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,14793904.0,18000000.0,0,Canada
Youth in Revolt,Miguel Arteta,6.5,Steve Buscemi,Ari Graynor,Fred Willard,15281286.0,18000000.0,0,USA
The Legend of the Lone Ranger,William A. Fraker,5.0,Jason Robards,Richard Farnsworth,Michael Horse,8000000.0,18000000.0,346,USA
The Tailor of Panama,John Boorman,6.1,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,13491653.0,18000000.0,813,USA
Getaway,Courtney Solomon,4.4,Rebecca Budig,Paul Freeman,Bruce Payne,10494494.0,18000000.0,4000,USA
The Ice Storm,Ang Lee,7.5,Joan Allen,Kate Burton,Henry Czerny,7837632.0,18000000.0,0,USA
And So It Goes,Rob Reiner,5.7,Yaya DaCosta,Annie Parisse,Frankie Valli,15155772.0,18000000.0,3000,USA
Troop Beverly Hills,Jeff Kanew,5.5,Craig T. Nelson,Shelley Long,Kellie Martin,8508843.0,18000000.0,0,USA
Being Julia,István Szabó,7.1,Miriam Margolyes,Shaun Evans,Juliet Stevenson,7739049.0,18000000.0,562,Canada
9½ Weeks,Adrian Lyne,5.9,David Margulies,Karen Young,Kim Chan,6734844.0,17000000.0,0,USA
Dragonslayer,Matthew Robbins,6.7,Ian McDiarmid,Ralph Richardson,Albert Salmi,6000000.0,18000000.0,0,USA
The Last Station,Michael Hoffman,7.0,David Masterson,Kerry Condon,Anne-Marie Duff,6615578.0,13000000.0,0,Germany
Ed Wood,Tim Burton,7.9,Johnny Depp,Bill Murray,Martin Landau,5887457.0,18000000.0,0,USA
Labor Day,Jason Reitman,6.9,J.K. Simmons,Kate Winslet,Brooke Smith,13362308.0,18000000.0,0,USA
Mongol: The Rise of Genghis Khan,Sergey Bodrov,7.3,Tadanobu Asano,Khulan Chuluun,Honglei Sun,5701643.0,20000000.0,0,Russia
RocknRolla,Guy Ritchie,7.3,Tom Hardy,Gerard Butler,Tom Wilkinson,5694401.0,18000000.0,12000,UK
Megaforce,Hal Needham,3.5,Barry Bostwick,Michael Beck,Henry Silva,5333658.0,20000000.0,0,USA
Hamlet,Kenneth Branagh,7.8,Julie Christie,Brian Blessed,Richard Briers,4414535.0,18000000.0,0,UK
Midnight Special,Jeff Nichols,6.7,Kirsten Dunst,Sam Shepard,Paul Sparks,3707794.0,18000000.0,0,Greece
Anything Else,Woody Allen,6.4,Woody Allen,Stockard Channing,Fisher Stevens,3203044.0,18000000.0,827,USA
The Railway Man,Jonathan Teplitzky,7.1,Jeremy Irvine,Colin Firth,Sam Reid,4435083.0,18000000.0,18000,Australia
The White Ribbon,Michael Haneke,7.8,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,2222647.0,12000000.0,0,Germany
The Wraith,Mike Marvin,5.9,Clint Howard,Randy Quaid,Nick Cassavetes,3500000.0,2700000.0,0,USA
The Salton Sea,D.J. Caruso,7.2,Adam Goldberg,Meat Loaf,Anthony LaPaglia,676698.0,18000000.0,2000,USA
One Man's Hero,Lance Hool,6.2,Tom Berenger,Joaquim de Almeida,Mark Moses,229311.0,11350000.0,271,Spain
Renaissance,Christian Volckman,6.7,Romola Garai,Catherine McCormack,Kevork Malikyan,63260.0,14000000.0,0,France
Superbad,Greg Mottola,7.6,Emma Stone,Joe Lo Truglio,Kevin Corrigan,121463226.0,20000000.0,0,USA
Step Up 2: The Streets,Jon M. Chu,6.2,Cassie Ventura,Mari Koda,Luis Rosado,58006147.0,23000000.0,0,USA
Hoodwinked!,Cory Edwards,6.5,Anne Hathaway,Chazz Palminteri,Jim Belushi,51053787.0,17500000.0,0,USA
Hotel Rwanda,Terry George,8.1,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,23472900.0,17500000.0,12000,UK
Hitman,Xavier Gens,6.3,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,39687528.0,24000000.0,0,France
Black Nativity,Kasi Lemmons,4.4,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,7017178.0,17500000.0,0,USA
City of Ghosts,Matt Dillon,6.0,Kirk Fox,Shawn Andrews,Rob Campbell,325491.0,17500000.0,204,USA
The Others,Alejandro Amenábar,7.6,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,96471845.0,17000000.0,20000,USA
Aliens,James Cameron,8.4,Michael Biehn,Carrie Henn,Jenette Goldstein,85200000.0,18500000.0,18000,USA
My Fair Lady,George Cukor,7.9,Jeremy Brett,Rex Harrison,Theodore Bikel,72000000.0,17000000.0,0,USA
I Know What You Did Last Summer,Jim Gillespie,5.6,Muse Watson,Sarah Michelle Gellar,Anne Heche,72219395.0,17000000.0,0,USA
Let's Be Cops,Luke Greenfield,6.5,Rob Riggle,Damon Wayans Jr.,James D'Arcy,82389560.0,17000000.0,14000,USA
Sideways,Alexander Payne,7.5,Virginia Madsen,Patrick Gallagher,M.C. Gainey,71502303.0,12000000.0,0,USA
Beerfest,Jay Chandrasekhar,6.3,Chris Moss,Owain Yeoman,Jay Chandrasekhar,19179969.0,17500000.0,0,USA
Halloween,John Carpenter,7.9,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,47000000.0,300000.0,12000,USA
Hero,Yimou Zhang,7.9,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,84961.0,31000000.0,0,China
Good Boy!,John Hoffman,5.1,Liam Aiken,Molly Shannon,Kevin Nealon,37566230.0,17000000.0,309,USA
The Best Man Holiday,Malcolm D. Lee,6.7,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,70492685.0,17000000.0,7000,USA
Smokin' Aces,Joe Carnahan,6.7,Ryan Reynolds,Common,Alex Rocco,35635046.0,17000000.0,3000,UK
Saw 3D: The Final Chapter,Kevin Greutert,5.6,Costas Mandylor,Gina Holden,Betsy Russell,45670855.0,20000000.0,12000,Canada
40 Days and 40 Nights,Michael Lehmann,5.6,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,37939782.0,17000000.0,2000,USA
TRON: Legacy,Joseph Kosinski,6.8,Jeff Bridges,Olivia Wilde,James Frain,172051787.0,170000000.0,30000,USA
A Night at the Roxbury,John Fortenberry,6.2,Will Ferrell,Chris Kattan,Dan Hedaya,30324946.0,17000000.0,0,USA
Beastly,Daniel Barnz,5.6,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,27854896.0,17000000.0,16000,USA
The Hills Have Eyes,Alexandre Aja,6.4,Dan Byrd,Greg Nicotero,Vinessa Shaw,41777564.0,15000000.0,0,USA
Dickie Roberts: Former Child Star,Sam Weisman,5.6,Kevin Grevioux,Jenna Boyd,Mary McCormack,22734486.0,17000000.0,320,USA
"McFarland, USA",Niki Caro,7.4,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,44469602.0,17000000.0,21000,USA
Pitch Perfect,Jason Moore,7.2,Anna Kendrick,Hana Mae Lee,Ben Platt,64998368.0,17000000.0,36000,USA
Summer Catch,Michael Tollin,4.9,Marc Blucas,Brian Dennehy,Bruce Davison,19693891.0,34000000.0,476,USA
A Simple Plan,Sam Raimi,7.5,Gary Cole,Bridget Fonda,Chelcie Ross,16311763.0,17000000.0,0,UK
They,Robert Harmon,4.8,Alexander Gould,Ethan Embry,Marc Blucas,12693621.0,17000000.0,814,USA
Larry the Cable Guy: Health Inspector,Trent Cooper,3.1,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,15655665.0,4000000.0,110,USA
The Adventures of Elmo in Grouchland,Gary Halvorson,5.8,Vanessa Williams,Kevin Clash,Caroll Spinney,11634458.0,17000000.0,339,USA
Brooklyn's Finest,Antoine Fuqua,6.7,Don Cheadle,Lili Taylor,Armando Riesco,27154426.0,17000000.0,4000,USA
Evil Dead,Fede Alvarez,6.5,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,54239856.0,17000000.0,70000,USA
My Life in Ruins,Donald Petrie,5.9,Nia Vardalos,Harland Williams,Rachel Dratch,8662318.0,17000000.0,0,USA
American Dreamz,Paul Weitz,5.5,Judy Greer,Dennis Quaid,Chris Klein,7156725.0,19000000.0,300,USA
Superman IV: The Quest for Peace,Sidney J. Furie,3.6,Jim Broadbent,Margot Kidder,William Hootkins,15681020.0,17000000.0,1000,UK
Running Scared,Wayne Kramer,7.4,Paul Walker,Chazz Palminteri,Ivana Milicevic,6855137.0,17000000.0,0,Germany
Shanghai Surprise,Jim Goddard,3.0,Victor Wong,Paul Freeman,Clyde Kusatsu,2315683.0,17000000.0,154,UK
The Illusionist,Neil Burger,7.6,Rufus Sewell,Eddie Marsan,Jake Wood,39825798.0,16000000.0,15000,USA
Roar,Noel Marshall,6.4,Tippi Hedren,Melanie Griffith,Zakes Mokae,2000000.0,17000000.0,0,USA
Veronica Guerin,Joel Schumacher,6.9,Brenda Fricker,David Murray,Gerard McSorley,1569918.0,17000000.0,0,Ireland
Escobar: Paradise Lost,Andrea Di Stefano,6.6,Josh Hutcherson,Brady Corbet,Carlos Bardem,106869.0,17000000.0,0,France
Southland Tales,Richard Kelly,5.5,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,273420.0,17000000.0,0,France
The Apparition,Todd Lincoln,4.1,Julianna Guill,Rick Gomez,Tim Williams,4930798.0,17000000.0,0,USA
My Girl,Howard Zieff,6.8,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,59847242.0,16500000.0,0,USA
Fur: An Imaginary Portrait of Diane Arbus,Steven Shainberg,6.5,Robert Downey Jr.,Ty Burrell,Matt Servitto,220914.0,16800000.0,0,USA
The Illusionist,Neil Burger,7.6,Rufus Sewell,Eddie Marsan,Jake Wood,39825798.0,16000000.0,15000,USA
Wall Street,Oliver Stone,7.4,Hal Holbrook,Tamara Tunie,James Karen,43848100.0,15000000.0,0,USA
Sense and Sensibility,Ang Lee,7.7,Alan Rickman,Kate Winslet,Tom Wilkinson,42700000.0,16500000.0,0,USA
Becoming Jane,Julian Jarrold,7.1,Anne Hathaway,Julie Walters,Laurence Fox,18663911.0,16500000.0,0,UK
Sydney White,Joe Nussbaum,6.3,Danny Strong,Matt Long,Samm Levine,11702090.0,16500000.0,0,USA
House of Sand and Fog,Vadim Perelman,7.6,Frances Fisher,Kim Dickens,Ron Eldard,13005485.0,15000000.0,0,USA
Dead Poets Society,Peter Weir,8.0,Robin Williams,Josh Charles,Kurtwood Smith,95860116.0,16400000.0,23000,USA
Dumb & Dumber,Peter Farrelly,7.3,Lauren Holly,Mike Starr,Teri Garr,127175354.0,16000000.0,0,USA
When Harry Met Sally...,Rob Reiner,7.6,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,92823600.0,16000000.0,0,USA
The Verdict,Sidney Lumet,7.8,Charlotte Rampling,James Mason,Jack Warden,54000000.0,16000000.0,0,USA
Road Trip,Todd Phillips,6.5,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,68525609.0,15600000.0,0,USA
Varsity Blues,Brian Robbins,6.4,Paul Walker,Ron Lester,Mark Walters,52885587.0,16000000.0,0,USA
The Artist,Michel Hazanavicius,8.0,Bérénice Bejo,Ed Lauter,Beth Grant,44667095.0,15000000.0,30000,France
The Unborn,David S. Goyer,4.8,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,42638165.0,16000000.0,0,USA
Moonrise Kingdom,Wes Anderson,7.8,Bruce Willis,Bill Murray,Bob Balaban,45507053.0,16000000.0,71000,USA
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,5.9,Matt Bomer,Jordana Brewster,Lew Temple,39511038.0,16000000.0,0,USA
The Young Messiah,Cyrus Nowrasteh,5.4,Clive Russell,Vincent Walsh,Finn Ireland,6462576.0,18500000.0,0,USA
The Master of Disguise,Perry Andelin Blake,3.3,Jennifer Esposito,Kenan Thompson,James Brolin,40363530.0,16000000.0,1000,USA
Pan's Labyrinth,Guillermo del Toro,8.2,Ivana Baquero,Maribel Verdú,Sergi López,37623143.0,13500000.0,27000,Spain
See Spot Run,John Whitesell,5.4,Leslie Bibb,Angus T. Jones,Paul Sorvino,33357476.0,35000000.0,393,USA
Baby Boy,John Singleton,6.4,Mo'Nique,Snoop Dogg,Angell Conwell,28734552.0,16000000.0,1000,USA
The Roommate,Christian E. Christiansen,4.8,Leighton Meester,Danneel Ackles,Frances Fisher,37300107.0,16000000.0,0,USA
Joe Dirt,Dennie Gordon,5.9,Brittany Daniel,Erik Per Sullivan,Fred Ward,27087695.0,17700000.0,0,USA
Double Impact,Sheldon Lettich,5.5,Bolo Yeung,Alonna Shaw,Kamel Krifa,30102717.0,15000000.0,0,USA
Hot Fuzz,Edgar Wright,7.9,Bill Bailey,Joe Cornish,Billie Whitelaw,23618786.0,8000000.0,17000,UK
The Women,Diane English,4.9,Jada Pinkett Smith,Debi Mazar,Debra Messing,26896744.0,16500000.0,0,USA
Vicky Cristina Barcelona,Woody Allen,7.2,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,23213577.0,15500000.0,14000,Spain
Bad Moms,Jon Lucas,6.7,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,55461307.0,20000000.0,18000,USA
Boys and Girls,Robert Iscove,5.3,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,20627372.0,16000000.0,487,USA
White Oleander,Peter Kosminsky,7.2,Patrick Fugit,Cole Hauser,Marc Donato,16346122.0,16000000.0,0,USA
Jennifer's Body,Karyn Kusama,5.1,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,16204793.0,16000000.0,6000,USA
Drowning Mona,Nick Gomez,5.6,Will Ferrell,Jamie Lee Curtis,Tracey Walter,15427192.0,16000000.0,492,USA
Radio Days,Woody Allen,7.6,Mike Starr,Don Pardo,Julie Kavner,14792779.0,16000000.0,0,USA
Left Behind,Vic Armstrong,3.1,Nicolas Cage,Lea Thompson,Quinton Aaron,13998282.0,16000000.0,31000,USA
Remember Me,Allen Coulter,7.2,Robert Pattinson,Lena Olin,Ruby Jerins,19057024.0,16000000.0,24000,USA
How to Deal,Clare Kilner,5.7,Dylan Baker,Alexandra Holden,Trent Ford,14108518.0,16000000.0,371,USA
My Stepmother Is an Alien,Richard Benjamin,5.2,Jon Lovitz,Alyson Hannigan,Tony Jay,13854000.0,20000000.0,818,USA
Philadelphia,Jonathan Demme,7.7,Denzel Washington,Tom Hanks,Jason Robards,77324422.0,26000000.0,0,USA
The Thirteenth Floor,Josef Rusnak,7.0,Gretchen Mol,Craig Bierko,Brad William Henke,15500000.0,16000000.0,0,Germany
Duets,Bruce Paltrow,6.0,Lochlyn Munro,Marian Seldes,Huey Lewis,4734235.0,15000000.0,573,USA
Hollywood Ending,Woody Allen,6.6,Woody Allen,Debra Messing,Treat Williams,4839383.0,16000000.0,762,USA
Detroit Rock City,Adam Rifkin,6.8,Natasha Lyonne,Lin Shaye,Shannon Tweed,4193025.0,15000000.0,0,USA
Highlander,Russell Mulcahy,7.2,Christopher Lambert,Jon Polito,Celia Imrie,5900000.0,16000000.0,0,UK
Things We Lost in the Fire,Susanne Bier,7.2,Alison Lohman,Omar Benson Miller,Robin Weigert,2849142.0,16000000.0,0,USA
Steel,Kenneth Johnson,2.8,Charles Napier,Annabeth Gish,Hill Harper,1686429.0,16000000.0,0,USA
The Immigrant,James Gray,6.6,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,1984743.0,16000000.0,0,USA
The White Countess,James Ivory,6.7,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,1666262.0,16000000.0,356,UK
Trance,Danny Boyle,7.0,Rosario Dawson,Spencer Wilding,Tuppence Middleton,2319187.0,20000000.0,23000,UK
Soul Plane,Jessy Terrero,4.4,Mo'Nique,Snoop Dogg,Tom Arnold,13922211.0,16000000.0,0,USA
Good,Vicente Amorim,6.2,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,23091.0,15000000.0,921,UK
Enter the Void,Gaspar Noé,7.3,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,336467.0,13000000.0,23000,France
Vamps,Amy Heckerling,5.1,Taylor Negron,Justin Kirk,Ivan Sergei,2964.0,16000000.0,0,USA
The Homesman,Tommy Lee Jones,6.6,Barry Corbin,Tim Blake Nelson,Miranda Otto,2428883.0,16000000.0,0,USA
Juwanna Mann,Jesse Vaughan,4.5,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,13571817.0,15600000.0,939,USA
Slow Burn,Wayne Beach,5.9,Mekhi Phifer,LL Cool J,Fisher Stevens,1181197.0,15500000.0,191,USA
Wasabi,Gérard Krawczyk,6.6,Carole Bouquet,Ryôko Hirosue,Michel Muller,81525.0,15300000.0,0,France
Slither,James Gunn,6.5,Dustin Milligan,Gregg Henry,Tania Saulnier,7774730.0,15500000.0,0,Canada
Beverly Hills Cop,Martin Brest,7.3,Judge Reinhold,Ronny Cox,James Russo,234760500.0,14000000.0,0,USA
Home Alone,Chris Columbus,7.5,Macaulay Culkin,Devin Ratray,Catherine O'Hara,285761243.0,18000000.0,20000,USA
3 Men and a Baby,Leonard Nimoy,5.9,Tom Selleck,Ted Danson,Steve Guttenberg,167780960.0,11000000.0,3000,USA
Tootsie,Sydney Pollack,7.4,Bill Murray,Sydney Pollack,Teri Garr,177200000.0,22000000.0,0,USA
Top Gun,Tony Scott,6.9,Tom Cruise,Tom Skerritt,Adrian Pasdar,176781728.0,15000000.0,19000,USA
"Crouching Tiger, Hidden Dragon",Ang Lee,7.9,Chen Chang,Pei-Pei Cheng,Sihung Lung,128067808.0,15000000.0,0,Taiwan
American Beauty,Sam Mendes,8.4,Kevin Spacey,Peter Gallagher,Ara Celi,130058047.0,15000000.0,22000,USA
The King's Speech,Tom Hooper,8.0,Colin Firth,Jennifer Ehle,Derek Jacobi,138795342.0,15000000.0,64000,UK
Twins,Ivan Reitman,6.0,Kelly Preston,Tony Jay,Hugh O'Brian,111936400.0,15000000.0,0,USA
The Yellow Handkerchief,Udayan Prasad,6.8,Kristen Stewart,Eddie Redmayne,William Hurt,317040.0,15500000.0,1000,USA
The Color Purple,Steven Spielberg,7.8,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,94175854.0,15000000.0,6000,USA
The Imitation Game,Morten Tyldum,8.1,Benedict Cumberbatch,Rory Kinnear,Allen Leech,91121452.0,14000000.0,165000,UK
Private Benjamin,Howard Zieff,6.1,Eileen Brennan,Albert Brooks,Alan Oppenheimer,69800000.0,10000000.0,855,USA
Diary of a Wimpy Kid,Thor Freudenthal,6.2,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,64001297.0,15000000.0,0,USA
Mama,Andrés Muschietti,6.2,Javier Botet,Megan Charpentier,Isabelle Nélisse,71588220.0,20000000.0,57000,Canada
Halloween,John Carpenter,7.9,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,47000000.0,300000.0,12000,USA
National Lampoon's Vacation,Harold Ramis,7.4,Beverly D'Angelo,Randy Quaid,Jane Krakowski,61400000.0,15000000.0,0,USA
Bad Grandpa,Jeff Tremaine,6.6,Jackson Nicoll,Georgina Cates,Grasie Mercedes,101978840.0,15000000.0,26000,USA
The Queen,Stephen Frears,7.3,Roger Allam,Sylvia Syms,Alex Jennings,56437947.0,9800000.0,0,UK
Beetlejuice,Tim Burton,7.5,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,73326666.0,15000000.0,15000,USA
Why Did I Get Married?,Tyler Perry,5.6,Michael Jai White,Tasha Smith,Lamman Rucker,55184721.0,15000000.0,1000,USA
Little Women,Gillian Armstrong,7.3,Christian Bale,Kirsten Dunst,Eric Stoltz,50003300.0,15000000.0,0,USA
The Woman in Black,James Watkins,6.4,Daniel Radcliffe,Roger Allam,Jessica Raine,54322273.0,17000000.0,29000,UK
When a Stranger Calls,Simon West,5.0,Madeline Carroll,Tessa Thompson,Brian Geraghty,47860214.0,15000000.0,0,USA
Big Fat Liar,Shawn Levy,5.4,Frankie Muniz,Donald Faison,Lee Majors,47811275.0,15000000.0,896,USA
Wag the Dog,Barry Levinson,7.1,Robert De Niro,Kirsten Dunst,John Michael Higgins,43022524.0,15000000.0,12000,USA
The Lizzie McGuire Movie,Jim Fall,5.3,Clayton Snyder,Adam Lamberg,Alex Borstein,42672630.0,17000000.0,0,USA
Snitch,Ric Roman Waugh,6.5,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,42919096.0,15000000.0,12000,USA
Krampus,Michael Dougherty,6.2,Adam Scott,Conchata Ferrell,Allison Tolman,42592530.0,15000000.0,27000,USA
The Faculty,Robert Rodriguez,6.4,Jordana Brewster,Salma Hayek,Clea DuVall,40064955.0,15000000.0,0,USA
Cop Land,James Mangold,6.9,Robert De Niro,Sylvester Stallone,Janeane Garofalo,44886089.0,10000000.0,2000,USA
Not Another Teen Movie,Joel Gallen,5.7,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,37882551.0,16000000.0,0,USA
End of Watch,David Ayer,7.7,Jake Gyllenhaal,Anna Kendrick,America Ferrera,40983001.0,7000000.0,38000,USA
Aloha,Cameron Crowe,5.4,Emma Stone,Bradley Cooper,Bill Murray,20991497.0,37000000.0,11000,USA
The Skulls,Rob Cohen,5.6,Paul Walker,Leslie Bibb,William Petersen,35007180.0,15000000.0,0,USA
The Theory of Everything,James Marsh,7.7,Eddie Redmayne,Emily Watson,Simon McBurney,35887263.0,15000000.0,90000,UK
Malibu's Most Wanted,John Whitesell,5.1,Greg Grunberg,Regina Hall,Blair Underwood,34308901.0,16000000.0,0,USA
Where the Heart Is,Matt Williams,6.8,Natalie Portman,James Frain,Stockard Channing,33771174.0,15000000.0,0,USA
Lawrence of Arabia,David Lean,8.4,Claude Rains,José Ferrer,Jack Hawkins,6000000.0,15000000.0,11000,UK
Halloween II,Rob Zombie,4.9,Scout Taylor-Compton,Tyler Mane,Margot Kidder,33386128.0,15000000.0,3000,USA
Wild,Jean-Marc Vallée,7.1,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,37877959.0,15000000.0,38000,USA
The Last House on the Left,Dennis Iliadis,6.6,Tony Goldwyn,Monica Potter,Martha MacIsaac,32721635.0,15000000.0,0,USA
The Wedding Date,Clare Kilner,6.1,Jack Davenport,Debra Messing,Holland Taylor,31585300.0,15000000.0,0,USA
Halloween: Resurrection,Rick Rosenthal,4.1,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,30259652.0,15000000.0,0,USA
Clash of the Titans,Louis Leterrier,5.8,Liam Neeson,Jason Flemyng,Alexa Davalos,163192114.0,125000000.0,15000,USA
The Princess Bride,Rob Reiner,8.1,Robin Wright,Carol Kane,André the Giant,30857814.0,16000000.0,33000,USA
The Great Debaters,Denzel Washington,7.6,Denzel Washington,Jurnee Smollett-Bell,John Heard,30226144.0,15000000.0,0,USA
Drive,Nicolas Winding Refn,7.8,Ryan Gosling,Albert Brooks,Russ Tamblyn,35054909.0,15000000.0,81000,USA
Confessions of a Teenage Drama Queen,Sara Sugarman,4.6,Adam Garcia,Carol Kane,Glenne Headly,29302097.0,15000000.0,810,Germany
The Object of My Affection,Nicholas Hytner,6.0,Liam Aiken,Tim Daly,Kali Rocha,29106737.0,15000000.0,849,USA
28 Weeks Later,Juan Carlos Fresnadillo,7.0,Jeremy Renner,Harold Perrineau,Catherine McCormack,28637507.0,15000000.0,0,UK
When the Game Stands Tall,Thomas Carter,6.7,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,30127963.0,15000000.0,0,USA
Because of Winn-Dixie,Wayne Wang,6.4,Cicely Tyson,Luke Benward,Eva Marie Saint,32645546.0,14000000.0,1000,USA
Love & Basketball,Gina Prince-Bythewood,7.2,Alfre Woodard,Sanaa Lathan,Omar Epps,27441122.0,15000000.0,0,USA
Grosse Pointe Blank,George Armitage,7.4,Minnie Driver,Michael Cudlitz,Mitchell Ryan,28014536.0,15000000.0,0,USA
All About Steve,Phil Traill,4.8,Bradley Cooper,Katy Mixon,Beth Grant,33860010.0,15000000.0,0,USA
Book of Shadows: Blair Witch 2,Joe Berlinger,4.0,Kim Director,Erica Leerhsen,Kurt Loder,26421314.0,15000000.0,949,USA
The Craft,Andrew Fleming,6.2,Christine Taylor,Rachel True,Brenda Strong,24881000.0,15000000.0,6000,USA
Match Point,Woody Allen,7.7,Scarlett Johansson,Mark Gatiss,Penelope Wilton,23089926.0,15000000.0,0,UK
Ramona and Beezus,Elizabeth Allen Rosenbaum,6.7,Sierra McCormick,Hutch Dano,Jason Spevack,26161406.0,15000000.0,0,USA
The Remains of the Day,James Ivory,7.9,Anthony Hopkins,Peter Vaughan,Ben Chaplin,22954968.0,11500000.0,0,UK
Boogie Nights,Paul Thomas Anderson,7.9,Don Cheadle,Nicole Ari Parker,Nina Hartley,26384919.0,15000000.0,0,USA
Nowhere to Run,Robert Harmon,5.5,Kieran Culkin,Rosanna Arquette,Joss Ackland,22189039.0,15000000.0,466,USA
Flicka,Michael Mayer,6.2,Alison Lohman,Danny Pino,Tim McGraw,20998709.0,15000000.0,1000,USA
The Hills Have Eyes II,Martin Weisz,5.1,Jeff Kober,Daniella Alonso,Jacob Vargas,20801344.0,15000000.0,0,USA
Urban Legends: Final Cut,John Ottman,4.1,Loretta Devine,Joey Lawrence,Jacinda Barrett,21468807.0,14000000.0,243,USA
Tuck Everlasting,Jay Russell,6.7,William Hurt,Sissy Spacek,Jonathan Jackson,19158074.0,15000000.0,0,USA
The Marine,John Bonito,4.7,Kelly Carlson,Firass Dirani,Drew Powell,18843314.0,20000000.0,0,USA
Keanu,Peter Atencio,6.4,Nia Long,Will Forte,Keegan-Michael Key,20566327.0,15000000.0,0,USA
Country Strong,Shana Feste,6.3,Leighton Meester,Cinda McCain,Tim McGraw,20218921.0,15000000.0,0,Official site
Disturbing Behavior,David Nutter,5.5,Bruce Greenwood,Ethan Embry,Katharine Isabelle,17411331.0,15000000.0,673,Australia
The Place Beyond the Pines,Derek Cianfrance,7.3,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,21383298.0,15000000.0,47000,USA
The November Man,Roger Donaldson,6.3,Luke Bracey,Akie Kotabe,Will Patton,24984868.0,15000000.0,0,USA
Eye of the Beholder,Stephan Elliott,4.9,Jason Priestley,Patrick Bergin,Geneviève Bujold,16459004.0,15000000.0,327,Canada
